"[50.8436709, 4.36743669338796]","Brussel, België",2019-12-04 17:02:35,pruckler,b'RT @ladyhaja: The Queen chastising Princess Anne for not greeting Trump and Anne not giving a single shit is the mood we all need to take i\xe2\x80\xa6'
"[43.653963, -79.387207]",Toronto,2019-12-04 17:02:35,Darlah Potechin,b'The name calling bully like a child that never learned. Wonder what the history books will say about him. https://t.co/9J5LLXhTPu'
"[34.2331373, -102.4107493]",EARTH,2019-12-04 17:02:35,CynicalVisionary,"b""RT @politicususa: Impeachment Report Makes It Clear: Devin Nunes Was A Key Player In Trump's Ukraine Scheme https://t.co/9qpr7za2AA via @po\xe2\x80\xa6"""
"[51.5073219, -0.1276474]","London, England",2019-12-04 17:02:35,@DrStargazerette⚫🇮🇳🇩🇪🇪🇺🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧,b'RT @Independent: Boris Johnson refuses to rule out no-deal Brexit and abruptly ends press conference https://t.co/XbhOoQiujC'
"[43.6211955, -84.6824346]","Michigan, USA",2019-12-04 17:02:35,Rosemary Lesher,b'@ABC And all these liberals just spewing out these same lies over and over. Trying to make the American people beli\xe2\x80\xa6 https://t.co/1cwRpPCkVn'
"[39.7837304, -100.4458825]",United States,2019-12-04 17:02:35,BUYTHISBOOK,b'RT @HouseJudiciary: .@RepJerryNadler: the storm in which we find ourselves today was set in motion by President Trump.  I do not wish this\xe2\x80\xa6'
"[42.9744081, -87.8709308]","Saint Francis, Wisconsin",2019-12-04 17:02:35,Mark Latiker,"b'RT @PalmerReport: Donald Trump\xe2\x80\x99s day so far:\n\n- Bails on NATO summit early after Macron, Trudeau, Johnson and Princess Anne mock him\n- What\xe2\x80\xa6'"
"[37.1232245, -78.4927721]","Virginia, USA",2019-12-04 17:07:23,🤷‍♂️,"b'RT @TheHusayn: The British Racist Leader, The Canadian Racist Leader and The French racist Leader app walk into a summit. Who cracks the fi\xe2\x80\xa6'"
"[51.4538022, -2.5972985]",Bristol,2019-12-04 17:07:23,Paul Duckett,"b'RT @JimMFelton: Trump just said ""I don\'t know Prince Andrew, but that\'s a tough story, it\'s a very tough story, I don\'t know""\n\nHere he is n\xe2\x80\xa6'"
"[51.4538022, -2.5972985]","Bristol, England",2019-12-04 17:07:23,Aozora,"b'RT @funder: One thing is clear from this hearing: Trump should absolutely, without a doubt, be impeached and removed immediately. Trump has\xe2\x80\xa6'"
"[46.7985624, 8.2319736]",Switzerland,2019-12-04 17:07:22,Chrissie Z,"b""RT @LVNancy: President Trump doesn't give AF. \nTells Macron he'll give him more isis fighters \xf0\x9f\x98\x82\n\nNOTHING, not #impeachment, not these littl\xe2\x80\xa6"""
"[39.7837304, -100.4458825]",United States,2019-12-04 17:07:22,Gina9000⭐⭐⭐,"b'RT @ScottHendrick49: LESSON NOT LEARNED: Trudeau, Johnson, Macron appear to be mocking Trump in video -- So soon they forget that they who\xe2\x80\xa6'"
"[25.1446897, 67.1847767315734]","Karachi, Pakistan",2019-12-04 17:07:22,Muniba Kamal,b'RT @guardian: World leaders appear to joke about Trump at Nato summit https://t.co/miqGVlkewT'
"[43.6211955, -84.6824346]","Michigan, USA",2019-12-04 17:07:22,slimshadysee,b'RT @mitchellreports: Law Prof Noah Feldman says the evidence shows Pres. Trump has committed impeachable high crimes and misdemeanors by co\xe2\x80\xa6'
"[43.850374, -79.024658]","Ajax, Ontario ",2019-12-04 17:07:22,• young hugh hefner •,b'RT @6ixbuzztv: Prime Minister Justin Trudeau and other foreign leaders have been caught on camera apparently talking candidly about U.S. Pr\xe2\x80\xa6'
"[37.9723339, -81.1487136]","Oak Hill, WV",2019-12-04 17:07:22,Jesse.  Trump2020.,b'RT @charliekirk11: I thought Democrats were going to impeach Trump for bribery?\n\nBut the Schiff impeachment report makes no mention of brib\xe2\x80\xa6'
